Date,Open,High,Low,Close,Adj Close,Volume
2021-12-16,1.240000,1.240000,1.240000,1.240000,1.179947,200
2021-12-17,1.200000,1.200000,1.180000,1.180000,1.122853,1500
2021-12-20,1.160000,1.160000,1.160000,1.160000,1.103821,400
2021-12-21,1.160000,1.230000,1.160000,1.230000,1.170431,800
2021-12-22,1.200000,1.240000,1.200000,1.240000,1.179947,6200
2021-12-23,1.240000,1.240000,1.200000,1.200000,1.141884,900
2021-12-24,1.200000,1.200000,1.200000,1.200000,1.141884,0
2021-12-29,1.180000,1.250000,1.180000,1.200000,1.141884,8500
2021-12-30,1.240000,1.240000,1.160000,1.160000,1.115910,1600
2021-12-31,1.220000,1.220000,1.200000,1.200000,1.154390,1400
2022-01-04,1.150000,1.200000,1.150000,1.160000,1.115910,10400
2022-01-05,1.160000,1.160000,1.160000,1.160000,1.115910,0
2022-01-06,1.160000,1.160000,1.130000,1.160000,1.115910,19100
2022-01-07,1.200000,1.200000,1.200000,1.200000,1.154390,900
2022-01-10,1.050000,1.050000,1.050000,1.050000,1.010091,2100
2022-01-11,1.200000,1.200000,1.060000,1.170000,1.125530,9600
2022-01-12,1.180000,1.180000,1.170000,1.170000,1.125530,400
2022-01-13,1.100000,1.100000,1.100000,1.100000,1.058191,200
2022-01-14,1.150000,1.180000,1.150000,1.180000,1.135150,7500
2022-01-17,1.200000,1.200000,1.200000,1.200000,1.154390,800
2022-01-18,1.200000,1.200000,1.200000,1.200000,1.154390,700
2022-01-19,1.200000,1.200000,1.200000,1.200000,1.154390,500
2022-01-20,1.200000,1.200000,1.200000,1.200000,1.154390,900
2022-01-21,1.150000,1.150000,1.150000,1.150000,1.106291,500
2022-01-24,1.150000,1.150000,1.150000,1.150000,1.106291,2700
2022-01-25,1.150000,1.150000,1.150000,1.150000,1.106291,0
2022-01-26,1.150000,1.150000,1.150000,1.150000,1.106291,1500
2022-01-27,1.150000,1.150000,1.150000,1.150000,1.106291,1100
2022-01-28,1.200000,1.200000,1.200000,1.200000,1.154390,6100
2022-01-31,1.150000,1.200000,1.150000,1.200000,1.154390,1100
2022-02-01,1.200000,1.200000,1.200000,1.200000,1.154390,2100
2022-02-02,1.200000,1.200000,1.200000,1.200000,1.154390,100
2022-02-03,1.200000,1.200000,1.200000,1.200000,1.154390,0
2022-02-04,1.180000,1.180000,1.180000,1.180000,1.135150,1000
2022-02-07,1.180000,1.200000,1.160000,1.200000,1.154390,6200
2022-02-08,1.150000,1.150000,1.150000,1.150000,1.106291,600
2022-02-09,1.150000,1.150000,1.150000,1.150000,1.106291,0
2022-02-10,1.200000,1.200000,1.150000,1.150000,1.106291,12000
2022-02-11,1.150000,1.150000,1.150000,1.150000,1.106291,100
2022-02-14,1.170000,1.170000,1.170000,1.170000,1.125530,300
2022-02-15,1.180000,1.180000,1.180000,1.180000,1.135150,100
2022-02-16,1.180000,1.180000,1.180000,1.180000,1.135150,0
2022-02-17,1.200000,1.200000,1.200000,1.200000,1.154390,500
2022-02-18,1.180000,1.200000,1.180000,1.200000,1.154390,600
2022-02-22,1.200000,1.200000,1.150000,1.150000,1.106291,3500
2022-02-23,1.150000,1.150000,1.150000,1.150000,1.106291,0
2022-02-24,1.150000,1.200000,1.130000,1.130000,1.087051,5400
2022-02-25,1.200000,1.200000,1.200000,1.200000,1.154390,2000
2022-02-28,1.130000,1.200000,1.000000,1.130000,1.087051,5500
2022-03-01,1.130000,1.140000,1.130000,1.140000,1.096671,3100
2022-03-02,1.140000,1.140000,1.040000,1.040000,1.000471,3800
2022-03-03,1.140000,1.140000,1.050000,1.050000,1.010091,1100
2022-03-04,1.110000,1.140000,1.110000,1.110000,1.067811,12300
2022-03-07,1.140000,1.140000,1.070000,1.140000,1.096671,12400
2022-03-08,1.140000,1.140000,1.090000,1.090000,1.048571,400
2022-03-09,1.110000,1.110000,1.110000,1.110000,1.067811,4000
2022-03-10,1.100000,1.140000,1.100000,1.140000,1.096671,8000
2022-03-11,1.100000,1.100000,1.100000,1.100000,1.058191,200
2022-03-14,1.060000,1.140000,1.060000,1.140000,1.096671,1200
2022-03-15,1.140000,1.140000,1.140000,1.140000,1.096671,0
2022-03-16,1.140000,1.140000,1.140000,1.140000,1.096671,1600
2022-03-17,1.140000,1.140000,1.140000,1.140000,1.096671,4100
2022-03-18,1.140000,1.140000,1.140000,1.140000,1.096671,500
2022-03-21,1.140000,1.140000,1.060000,1.080000,1.038951,18600
2022-03-22,1.080000,1.080000,1.080000,1.080000,1.038951,0
2022-03-23,1.080000,1.080000,1.080000,1.080000,1.038951,0
2022-03-24,1.080000,1.080000,1.080000,1.080000,1.038951,0
2022-03-25,1.100000,1.130000,1.100000,1.130000,1.087051,10200
2022-03-28,1.130000,1.130000,1.130000,1.130000,1.087051,4500
2022-03-29,1.140000,1.140000,1.110000,1.140000,1.096671,4300
2022-03-30,1.140000,1.140000,1.140000,1.140000,1.109321,1700
2022-03-31,1.140000,1.140000,1.140000,1.140000,1.109321,1200
2022-04-01,1.110000,1.110000,1.110000,1.110000,1.080128,100
2022-04-04,1.110000,1.140000,1.110000,1.140000,1.109321,1200
2022-04-05,1.120000,1.120000,1.120000,1.120000,1.089859,800
2022-04-06,1.110000,1.110000,1.110000,1.110000,1.080128,1000
2022-04-07,1.090000,1.090000,1.090000,1.090000,1.060666,800
2022-04-08,1.120000,1.120000,1.120000,1.120000,1.089859,1400
2022-04-11,1.070000,1.120000,1.070000,1.120000,1.089859,3300
2022-04-12,1.060000,1.060000,1.060000,1.060000,1.031474,500
2022-04-13,1.120000,1.150000,1.120000,1.150000,1.119052,7900
2022-04-14,1.160000,1.160000,1.160000,1.160000,1.128783,200
2022-04-18,1.160000,1.160000,1.120000,1.120000,1.089859,3700
2022-04-19,1.130000,1.180000,1.130000,1.150000,1.119052,1800
2022-04-20,1.190000,1.200000,1.190000,1.200000,1.167706,30100
2022-04-21,1.200000,1.200000,1.200000,1.200000,1.167706,0
2022-04-22,1.140000,1.140000,1.110000,1.110000,1.080128,1500
2022-04-25,1.190000,1.200000,1.100000,1.200000,1.167706,3900
2022-04-26,1.150000,1.190000,1.130000,1.130000,1.099590,17100
2022-04-27,1.100000,1.100000,1.100000,1.100000,1.070397,300
2022-04-28,1.100000,1.100000,1.100000,1.100000,1.070397,4000
2022-04-29,1.110000,1.240000,1.110000,1.240000,1.206630,1000
2022-05-02,1.170000,1.180000,1.120000,1.120000,1.089859,4100
2022-05-03,1.110000,1.160000,1.110000,1.160000,1.128783,3300
2022-05-04,1.120000,1.120000,1.120000,1.120000,1.089859,10000
2022-05-05,1.120000,1.160000,1.100000,1.160000,1.128783,400
2022-05-06,1.100000,1.150000,1.010000,1.140000,1.109321,13300
2022-05-09,1.110000,1.150000,1.110000,1.150000,1.119052,4000
2022-05-10,1.150000,1.150000,1.020000,1.020000,0.992550,800
